,apparentTemperature,cloudCover,dewPoint,humidity,temperature,uvIndex,visibility,windSpeed
06:30,95.35,0.24,78.77,0.85,83.82,0,5.59,4.43
06:45,95.49,0.21,78.75,0.85,83.91,0,5.72,4.57
07:00,95.63,0.19,78.73,0.84,83.99,0,5.85,4.71
07:15,96.83,0.19,78.97,0.84,84.46,1,5.85,4.48
07:30,98.02,0.19,79.21,0.83,84.94,1,5.85,4.29
07:45,99.21,0.19,79.45,0.82,85.41,2,5.85,4.13
08:00,100.41,0.19,79.69,0.82,85.88,2,5.85,4.01
08:15,101.93,0.25,79.7,0.8,86.73,3,5.94,3.53
08:30,103.36,0.31,79.69,0.78,87.57,3,6.03,3.39
08:45,104.69,0.38,79.65,0.75,88.41,4,6.12,3.65
09:00,105.92,0.44,79.58,0.73,89.26,4,6.22,4.23
09:15,106.3,0.44,79.32,0.72,89.77,5,6.22,5.04
09:30,106.63,0.44,79.04,0.7,90.28,6,6.22,5.84
09:45,106.91,0.44,78.74,0.68,90.8,6,6.22,6.65
10:00,107.15,0.44,78.42,0.66,91.31,7,6.22,7.46
10:15,107.53,0.44,78.24,0.65,91.78,7,6.22,7.29
10:30,107.89,0.44,78.05,0.64,92.25,8,6.22,7.18
10:45,108.22,0.44,77.84,0.62,92.72,8,6.22,7.12
11:00,108.53,0.44,77.61,0.61,93.19,9,6.22,7.11
11:15,108.06,0.44,77.42,0.61,93.07,9,6.22,7.54
11:30,107.6,0.44,77.22,0.6,92.95,9,6.22,8.05
11:45,107.14,0.44,77.03,0.6,92.83,9,6.22,8.64
12:00,106.69,0.44,76.83,0.6,92.71,10,6.22,9.28
12:15,106.56,0.48,76.31,0.58,93.16,9,6.22,9.08
12:30,106.4,0.53,75.77,0.56,93.6,9,6.22,9.22
12:45,106.22,0.58,75.19,0.55,94.05,8,6.22,9.67
13:00,106.01,0.62,74.58,0.53,94.49,8,6.22,10.4
13:15,106.3,0.6,74.82,0.53,94.48,8,6.22,10.02
13:30,106.6,0.57,75.05,0.54,94.47,8,6.22,10.11
13:45,106.89,0.55,75.29,0.54,94.46,8,6.22,10.66
14:00,107.19,0.52,75.52,0.55,94.44,7,6.22,11.61
14:15,107.18,0.47,75.41,0.54,94.55,7,6.22,11.51
14:30,107.16,0.43,75.3,0.54,94.66,7,6.22,11.41
14:45,107.15,0.38,75.18,0.53,94.76,6,6.22,11.32
15:00,107.13,0.34,75.06,0.53,94.87,6,6.22,11.25
15:15,107.02,0.3,75.06,0.53,94.79,5,6.22,11.41
15:30,106.9,0.26,75.05,0.53,94.71,5,6.22,11.6
15:45,106.79,0.22,75.04,0.53,94.63,4,6.22,11.8
16:00,106.67,0.19,75.03,0.54,94.55,3,6.22,12.01
16:15,106.37,0.19,75.16,0.54,94.19,3,6.22,12.57
16:30,106.06,0.19,75.27,0.55,93.84,2,6.22,13.13
16:45,105.74,0.19,75.38,0.56,93.49,2,6.22,13.7
17:00,105.4,0.19,75.48,0.57,93.14,1,6.22,14.27
17:15,105.09,0.19,75.53,0.57,92.86,1,6.22,14.16
17:30,104.78,0.19,75.58,0.58,92.57,0,6.22,14.04
17:45,104.45,0.19,75.62,0.59,92.29,0,6.22,13.93
18:00,104.12,0.19,75.66,0.59,92,0,6.22,13.82
